participant_id,total_log_lik_wba,total_log_lik_sba,mean_log_lik_wba,mean_log_lik_sba,WAIC_wba,WAIC_sba,elpd_waic_wba,elpd_waic_sba,better_model_by_WAIC,better_model_by_total_log_lik
201,-152.3680011104475,-238.57263531127248,-0.9958692883035783,-1.559298270008317,307.1973446826064,477.7814651330336,-153.5986723413032,-238.8907325665168,WBA,WBA
203,-222.08604147109997,-261.849640211375,-1.4515427547130717,-1.7114355569370916,446.6488018927807,524.3526538520629,-223.32440094639034,-262.17632692603144,WBA,WBA
204,-228.9392757657625,-261.6790083088749,-1.4963351357239378,-1.7103203157442806,460.66481760558156,524.3756273499416,-230.33240880279078,-262.1878136749708,WBA,WBA
205,-234.3718941486975,-273.08024391879997,-1.5318424454163235,-1.7848381955477122,471.17505338879977,547.3551254457777,-235.58752669439988,-273.67756272288887,WBA,WBA
206,-257.85627315862496,-285.16226145552497,-1.6853351186838232,-1.8638056304282677,518.0520490244412,571.3618421334567,-259.0260245122206,-285.68092106672833,WBA,WBA
210,-236.29881191699002,-259.900094999365,-1.5444366791960131,-1.6986934313683988,475.5173652131653,520.9012596150243,-237.75868260658265,-260.45062980751214,WBA,WBA
211,-268.34268993185,-294.344136962925,-1.7538737904042483,-1.9238178886465687,538.7302889556307,589.3816264631334,-269.36514447781536,-294.6908132315667,WBA,WBA
212,-223.09517749946,-260.5480656264,-1.4581384150291503,-1.7029285335058824,448.4670462281842,521.7729761752114,-224.2335231140921,-260.8864880876057,WBA,WBA
213,-306.801207130225,-313.794875985675,-2.0052366479099675,-2.0509469018671567,616.6973388546741,628.1856384731018,-308.34866942733703,-314.0928192365509,WBA,WBA
216,-269.164790173925,-293.5718170722,-1.759246994600817,-1.9187700462235295,540.8133478554645,588.2354881389682,-270.40667392773224,-294.1177440694841,WBA,WBA
218,-268.230838338175,-306.20614790205,-1.7531427342364378,-2.0013473719088237,539.2125952389849,613.5812826767201,-269.60629761949247,-306.79064133836005,WBA,WBA
221,-210.3246157783,-246.05908487020253,-1.374670691361438,-1.6082293128771408,422.432496072185,493.00689595176243,-211.2162480360925,-246.50344797588122,WBA,WBA
222,-231.3441979862,-267.93368750505,-1.5120535816091503,-1.7512005719284314,464.9521454752978,536.630844972441,-232.4760727376489,-268.3154224862205,WBA,WBA
225,-263.81757072334995,-278.114293334575,-1.7242978478650324,-1.8177404793109477,530.1077296357221,557.1377552178599,-265.05386481786104,-278.56887760892994,WBA,WBA
226,-249.80310884130498,-282.578616465275,-1.6327000577863071,-1.8469190618645424,501.80153104425057,565.8907439444201,-250.90076552212528,-282.94537197221007,WBA,WBA
227,-263.1392729831,-289.898348563975,-1.7198645293013073,-1.8947604481305556,528.5929817948779,580.7741473531164,-264.29649089743896,-290.3870736765582,WBA,WBA
228,-230.713653395155,-266.64944993747497,-1.5079323751317322,-1.7428068623364377,463.76738952608457,534.2802021505222,-231.88369476304229,-267.1401010752611,WBA,WBA
229,-307.99218599897495,-345.05799057535,-2.0130208235227123,-2.2552809841526145,617.1193822384572,690.2334085861132,-308.5596911192286,-345.1167042930566,WBA,WBA
231,-223.872087835705,-251.49298758208246,-1.463216260364085,-1.6437450168763559,450.85423429036314,503.89957313084295,-225.42711714518157,-251.94978656542148,WBA,WBA
232,-279.7390173054,-303.78494813557506,-1.8283595902313727,-1.9855225368338238,561.948413462578,608.5120221887171,-280.974206731289,-304.25601109435854,WBA,WBA
233,-273.025466163275,-284.85805207834994,-1.7844801710017972,-1.8618173338454245,548.6189199297559,570.985382586785,-274.30945996487793,-285.4926912933925,WBA,WBA
234,-249.8984697490875,-279.69918671334995,-1.6333233316933824,-1.8280992595643788,503.06436594564894,560.5449341740573,-251.53218297282447,-280.27246708702864,WBA,WBA
235,-219.158810598245,-251.97925944588502,-1.432410526785915,-1.6469232643521896,441.20498145055774,505.1410029874539,-220.60249072527887,-252.57050149372694,WBA,WBA
236,-197.220033414225,-240.12459447897498,-1.2890198262367647,-1.5694417939802288,397.40686273081235,481.35131149424694,-198.70343136540617,-240.67565574712347,WBA,WBA
237,-288.065761483375,-317.49871545047495,-1.8827827547933007,-2.075155002944281,577.6636956828597,635.594648984349,-288.83184784142986,-317.7973244921745,WBA,WBA
238,-224.21104178577502,-271.605691909,-1.4654316456586602,-1.7752006007124181,450.41512889211845,544.1478294999336,-225.20756444605922,-272.0739147499668,WBA,WBA
239,-324.223840564525,-337.973924177325,-2.119110069049183,-2.2089798965838234,650.8158093176892,676.161745996306,-325.4079046588446,-338.080872998153,WBA,WBA
240,-323.14100089092494,-361.124823462475,-2.112032685561601,-2.360292963807026,647.7400831546076,722.3370801754234,-323.8700415773038,-361.1685400877117,WBA,WBA
241,-216.23576106118753,-239.6175119528775,-1.4133056278508989,-1.5661275291037744,434.82852037152776,480.2167250520894,-217.41426018576388,-240.1083625260447,WBA,WBA
242,-284.47412380415005,-297.47422359654996,-1.859307998719935,-1.9442759712192808,571.1217756886164,595.8418058646829,-285.5608878443082,-297.92090293234145,WBA,WBA
243,-247.0834378076225,-268.6477700287,-1.6149244301151797,-1.7558677779653595,496.76653239524734,538.3316424120627,-248.38326619762367,-269.16582120603135,WBA,WBA
244,-267.4477879262,-297.501798608325,-1.7480247576875818,-1.9444562000544117,536.9047304439271,595.8825309096944,-268.45236522196353,-297.9412654548472,WBA,WBA
245,-273.1838186758,-288.67585757825,-1.7855151547437909,-1.886770310968954,548.9177801717537,578.1982883822184,-274.4588900858769,-289.0991441911092,WBA,WBA
246,-255.0949162540125,-283.1570370157,-1.667287034339951,-1.8506995883379085,511.59930885820944,567.1874988931678,-255.79965442910472,-283.5937494465839,WBA,WBA
247,-204.7343835389975,-241.84804249712252,-1.3381332257450815,-1.580706160111912,412.5920457216065,484.63862102981705,-206.29602286080325,-242.31931051490852,WBA,WBA
248,-298.298996201,-314.539008251975,-1.9496666418366015,-2.055810511450817,599.0580827487239,629.8991538574675,-299.52904137436195,-314.94957692873373,WBA,WBA
249,-322.878845744525,-333.06070121629995,-2.1103192532321895,-2.176867328211111,647.769330304983,666.4248193419543,-323.8846651524915,-333.21240967097714,WBA,WBA
250,-148.21010059373,-221.95514181851246,-0.9686934679328758,-1.450687201428186,299.2477159502146,444.5711906824374,-149.6238579751073,-222.2855953412187,WBA,WBA
305,-309.970841514675,-320.7508442113,-2.0259532125142155,-2.096410746479085,622.7873103008703,642.1175692074596,-311.39365515043517,-321.0587846037298,WBA,WBA
317,-257.932655258675,-283.58135523325006,-1.6858343480959153,-1.8534729100212421,518.2621152138829,568.1138313680568,-259.13105760694145,-284.0569156840284,WBA,WBA
