participant_id,n_trials,posterior_mean_w_direct,posterior_mean_w_social,posterior_mean_sigma,divergences,R_hat_max,status,error_message
201,153,0.347582,0.0110954,0.65588,0,1.00305,success,
203,153,0.170961,0.0317184,1.02979,0,1.00282,success,
204,153,0.291029,0.0463434,1.07701,0,1.00297,success,
205,153,0.423086,0.0270097,1.11528,0,1.00316,success,
206,153,0.554042,0.0402604,1.2946,0,1.00229,success,
210,153,0.368737,0.067083,1.12865,0,1.00497,success,
211,153,0.171039,0.0275333,1.3829,0,1.00359,success,
212,153,0.398476,0.0334523,1.03557,0,1.0036,success,
213,153,0.642548,0.220935,1.75139,0,1.00443,success,
216,153,0.240581,0.0440565,1.38903,0,1.00476,success,
218,153,0.0546157,0.0136656,1.37913,0,1.00303,success,
221,153,2.89237,0.276484,0.955694,0,1.0025,success,
222,153,0.128284,0.0411419,1.09476,0,1.00275,success,
225,153,1.59089,0.31046,1.3461,0,1.00216,success,
226,153,0.255158,0.0217121,1.22934,0,1.00342,success,
227,153,1.05956,0.0594731,1.34038,0,1.00376,success,
228,153,0.428009,0.0270164,1.08957,0,1.00201,success,
229,153,0.0230305,0.0214288,1.76428,0,1.00277,success,
231,153,0.64194,0.0812962,1.04251,0,1.00255,success,
232,153,0.193682,0.0319894,1.48473,0,1.00399,success,
233,153,1.54532,0.342899,1.4187,0,1.00324,success,
234,153,0.550654,0.0447331,1.23255,0,1.00236,success,
235,153,0.633902,0.0710283,1.01169,0,1.00368,success,
236,153,0.369134,0.052605,0.87877,0,1.00382,success,
237,153,0.161239,0.0140617,1.56614,0,1.00432,success,
238,153,0.23361,0.0140948,1.04483,0,1.00472,success,
239,153,0.217647,0.0746481,1.89515,0,1.00257,success,
240,153,0.0395463,0.0262666,1.89049,0,1.00316,success,
241,153,1.88868,0.278364,0.992586,0,1.00249,success,
242,153,1.29944,0.180832,1.53357,0,1.0027,success,
243,153,0.786617,0.128773,1.20908,0,1.00332,success,
244,153,0.470019,0.0264034,1.3747,0,1.00473,success,
245,153,1.0672,0.13745,1.42233,0,1.00493,success,
246,153,2.63847,0.155523,1.27302,0,1.00467,success,
247,153,0.31248,0.0510873,0.923948,0,1.00237,success,
248,153,0.291327,0.0499015,1.6658,0,1.00773,success,
249,153,0.563173,0.0922079,1.88906,0,1.0031,success,
250,153,0.573645,0.0372941,0.640048,0,1.00276,success,
305,153,0.209152,0.0929535,1.78456,0,1.00506,success,
317,153,0.449775,0.0440455,1.29445,0,1.00425,success,
