participant_id,observed_mean_change,wba_predicted_mean_change,sba_predicted_mean_change,wba_residual,sba_residual
201,-0.0718954248366013,-0.03721241830065359,-0.007392156862745098,0.03468300653594771,0.06450326797385621
203,-0.27450980392156865,-0.12924836601307188,-0.046124183006535945,0.14526143790849677,0.2283856209150327
204,-0.29411764705882354,-0.3929509803921569,-0.17336437908496732,-0.09883333333333338,0.12075326797385622
205,-0.10457516339869281,0.0744640522875817,0.04738725490196079,0.1790392156862745,0.1519624183006536
206,-0.13071895424836602,-0.18069281045751634,-0.11389542483660131,-0.04997385620915032,0.01682352941176471
210,0.08496732026143791,-0.07948039215686274,-0.04825326797385621,-0.16444771241830064,-0.13322058823529412
211,-0.06535947712418301,-0.14179738562091504,-0.0557124183006536,-0.07643790849673203,0.009647058823529411
212,-0.43137254901960786,-0.11672875816993465,-0.04038725490196079,0.3146437908496732,0.3909852941176471
213,0.0915032679738562,-0.09849673202614377,-0.05836274509803921,-0.18999999999999997,-0.1498660130718954
216,0.0392156862745098,0.21225980392156862,0.1112826797385621,0.17304411764705882,0.07206699346405229
218,-0.05228758169934641,-0.12362908496732027,-0.024052287581699347,-0.07134150326797387,0.02823529411764706
221,0.1895424836601307,-0.20262908496732024,-0.3948496732026144,-0.39217156862745095,-0.584392156862745
222,0.032679738562091505,-0.08224673202614378,-0.027702614379084962,-0.1149264705882353,-0.06038235294117647
225,0.41830065359477125,-0.09143790849673203,-0.11119934640522876,-0.5097385620915033,-0.5295
226,-0.032679738562091505,0.13685130718954247,0.051387254901960784,0.16953104575163397,0.08406699346405229
227,-0.3137254901960784,-0.2586045751633987,-0.24298202614379086,0.05512091503267974,0.07074346405228757
228,-0.21568627450980393,-0.07905228758169934,-0.036284313725490194,0.13663398692810458,0.17940196078431375
229,-0.47058823529411764,-0.3119411764705882,-0.09698039215686273,0.15864705882352942,0.3736078431372549
231,-0.39215686274509803,-0.32666339869281047,-0.2296797385620915,0.06549346405228756,0.16247712418300653
232,-0.1437908496732026,-0.1371813725490196,-0.06840522875816993,0.006609477124183,0.07538562091503268
233,-0.0784313725490196,-0.12706699346405229,-0.12774836601307188,-0.04863562091503268,-0.04931699346405227
234,0.39215686274509803,-0.12595261437908498,-0.07399183006535948,-0.518109477124183,-0.4661486928104575
235,-0.12418300653594772,-0.31708169934640523,-0.20377614379084968,-0.19289869281045752,-0.07959313725490197
236,-0.33986928104575165,-0.012491830065359475,-0.0024771241830065355,0.32737745098039217,0.3373921568627451
237,-0.006535947712418301,-0.03340686274509804,-0.03164869281045752,-0.02687091503267974,-0.025112745098039218
238,0.16339869281045752,-0.15430392156862746,-0.0364297385620915,-0.317702614379085,-0.19982843137254902
239,0.32679738562091504,-0.26159640522875816,-0.11205718954248366,-0.5883937908496732,-0.4388545751633987
240,-0.1568627450980392,-0.5544101307189542,-0.223781045751634,-0.39754738562091496,-0.06691830065359478
241,-0.08496732026143791,-0.31532352941176467,-0.4701633986928105,-0.23035620915032676,-0.3851960784313726
242,-0.21568627450980393,-0.28302614379084967,-0.32746732026143793,-0.06733986928104574,-0.111781045751634
243,0.38562091503267976,-0.22129901960784312,-0.13598366013071894,-0.6069199346405229,-0.5216045751633986
244,0.23529411764705882,-0.2032745098039216,-0.16112418300653594,-0.4385686274509804,-0.39641830065359474
245,0.24183006535947713,-0.19699183006535947,-0.2540686274509804,-0.4388218954248366,-0.4958986928104575
246,0.38562091503267976,-0.24356862745098037,-0.4207630718954248,-0.6291895424836601,-0.8063839869281045
247,0.1895424836601307,-0.11555882352941177,-0.0525718954248366,-0.3051013071895425,-0.2421143790849673
248,-0.05228758169934641,0.08709477124183006,0.06578594771241829,0.13938235294117646,0.11807352941176469
249,0.0457516339869281,-0.30733823529411763,-0.22851797385620914,-0.35308986928104574,-0.27426960784313725
250,-0.10457516339869281,-0.17728921568627454,-0.07897385620915032,-0.07271405228758172,0.025601307189542497
305,-0.16993464052287582,-0.26222875816993463,-0.13575653594771242,-0.0922941176470588,0.034178104575163404
317,0.0784313725490196,-0.14684803921568626,-0.05589542483660131,-0.22527941176470587,-0.13432679738562092
